AP Portfolio	module	Aplikko		http://aplikko.com/joomla-extensions/ap-portfolio
AcySMS	component	Acyba	https://extensions.joomla.org/extension/acysms/	2018-03-27 16:18:34
Admin Tools package	package	Nicholas K. Dionysopoulos	https://extensions.joomla.org/extension/admin-tools-professional/	https://www.akeebabackup.com/news/1693-admin-tools-security-bulletin-may-2018.html
Advertisement Board	component	Andrey Kvasnevskiy, Aleksey Pakholkov	https://extensions.joomla.org/extension/ads-a-affiliates/classified-ads/advertisement-board/	https://ordasoft.com/News/News/advertisement-board-security-update.html
Ajax Quiz	component	Webkul	https://extensions.joomla.org/extensions/extension/living/education-a-culture/ajaxquiz/	https://store.webkul.com/AjaxQuiz.html
Akeeba Backup package	package	Nicholas K. Dionysopoulos	https://extensions.joomla.org/extension/akeeba-backup/	https://www.akeebabackup.com/component/ars/?view=Items&amp;release_id=2732
AltaUserPoints	component	Bernard Gilly - Adrien Roussel	https://extensions.joomla.org/extensions/extension/e-commerce/credits-a-point-systems/altauserpoints/	https://www.nordmograph.com/extensions/index.php?option=com_virtuemart&amp;view=productdetails&amp;virtuemart_product_id=120&amp;virtuemart_category_id=8&amp;Itemid=58
Authentication - Master User	plugin	Fiona Coulter	https://extensions.joomla.org/profile/extension/access-a-security/site-access/master-user/	https://www.spiralscripts.co.uk/News/security-release-master-user-plugin.html
BaForms	package	Balbooa	https://extensions.joomla.org/extensions/extension/contacts-and-feedback/forms/forms/	https://support.balbooa.com/forum/joomla-forms/5441-balbooa-joomla-forms-v-1-7-4
Big File Uploader	component	prismanet.com	https://extensions.joomla.org/extension/big-file-uploader/	
BookLibrary	component	Rob de Cleen, Andrey Kvasnevskiy	https://extensions.joomla.org/extensions/extension/living/education-a-culture/booklibrary-basic/	http://ordasoft.com/News/News/book-library-security-update.html
Bt_Portfolio	component	Bowthemes	https://extensions.joomla.org/extension/bt-portfolio/	http://bowthemes.com/bt-portfolio-version-3.0.6.4.6-released.html
Button - Smart Related Articles	plugin	Iacopo Guarneri	https://extensions.joomla.org/extensions/extension/news-display/articles-display/smart-related-articles/	
Bye-Bye Password	plugin	Team Ready Bytes	https://extensions.joomla.org/extensions/extension/access-a-security/site-access/bye-bye-password/	
CP Event Calendar	component	CodePeople	https://extensions.joomla.org/extensions/extension/calendars-a-events/events/cp-event-calendar/	http://www.joomlacalendars.com/updates/cp-event-calendar-3.0.3
CW Article Attachments Package	package	Ing. Pavel Starý, CW Joomla	https://extensions.joomla.org/extension/cw-article-attachments/	http://www.cwjoomla.com/download-cw-article-attachments
CW Tags Package	package	Ing. Pavel Starý	https://extensions.joomla.org/extensions/extension/search-a-indexing/tags-a-clouds/cw-tags/	http://www.cwjoomla.com/download-cw-tags
Community Builder Package	package	CB Team	https://extensions.joomla.org/extension/community-builder/	https://www.joomlapolis.com/news/18719-security-statement-cb-2-1-1
Community Quiz	component	Maverick	https://extensions.joomla.org/extensions/extension/living/education-a-culture/community-quiz/	https://www.corejoomla.com/news/1164-community-quiz-v4-4-2-is-released.html
Contus HD Video Share	component	Apptha		
DT Register	package	DTH Development	https://extensions.joomla.org/extensions/extension/calendars-a-events/events/dt-register/	https://www.dthdevelopment.com/dth-news/dt-register-328-security-update
EShop	component	Giang Dinh Truong	https://extensions.joomla.org/profile/extension/e-commerce/shopping-cart/eshop/	http://joomdonation.com/forum/released-versions/50510-eshop-1-4-4-was-released-at-december-25-2015.html#73480
Ekrishta	component	Hardik Mistry	https://extensions.joomla.org/extensions/extension/living/dating-a-relationships/ek-rishta/	https://joomlaextensions.co.in/extensions/other-extensions/product/Ek-Rishta
ExtraSearch	component	DesignCompass corp		
Fancy TagCloud	module	Jeno Kovacs	https://extensions.joomla.org/extension/search-a-indexing/tags-a-clouds/fancy-tagcloud/	http://fancytagcloud.demo.offlajn.com/index.php/security-update
Form Maker	package	Web Dorado	https://extensions.joomla.org/extensions/extension/contacts-and-feedback/forms/form-maker/	https://web-dorado.com/products/joomla-form.html
GPS Tools Package	package	Maverick	https://extensions.joomla.org/index.php?option=com_jed&amp;view=extension&amp;layout=default&amp;id=5371&amp;Itemid=145	https://www.corejoomla.com/news/1163-gps-tools-v4-0-2-is-released.html
Gallery WD	package	Web-Dorado	https://extensions.joomla.org/extension/gallery-wd/	https://web-dorado.com/products/joomla-gallery.html
