# min_version	max_version	cve	schwere	typ
1.0.0	2.1.1	CVE-2025-25226	Low	SQL Injection
1.5.0	3.10.14	CVE-2024-21723	Low	Open Redirect
1.6.0	3.10.14	CVE-2024-21724	Moderate	XSS
1.6.0	3.9.24	CVE-2021-26029	Low	ACL Violation
1.6.0	4.4.0	CVE-2023-40626	High	Information Disclosure
1.6.2	3.9.10	CVE-2019-15028	Low	Incorrect Access Control
1.7.0	3.9.15	CVE-2020-10243	Low	SQL Injection
1.7.0	3.9.22	CVE-2020-35616	Low	ACL Violation
1.7.3	3.7.2	CVE-2017-9933	High	Information Disclosure
1.7.3	3.7.2	CVE-2017-9934	High	XSS
2.5.0	3.9.13	CVE-2019-19846	Low	SQL injection
2.5.0	3.9.15	CVE-2020-10238	Low	Incorrect Access Control
2.5.0	3.9.16	CVE-2020-11889	Low	Incorrect Access Control
2.5.0	3.9.16	CVE-2020-11890	Low	Incorrect Access Control
2.5.0	3.9.18	CVE-2020-13763	Low	Insecure Permissions
2.5.0	3.9.19	CVE-2020-15699	Low	Incorrect Access Control
2.5.0	3.9.20	CVE-2020-24597	Low	Directory Traversal
2.5.0	3.9.22	CVE-2020-35610	Low	Information Disclosure
2.5.0	3.9.22	CVE-2020-35611	Low	Information Disclosure
2.5.0	3.9.22	CVE-2020-35612	Low	Path traversal
2.5.0	3.9.24	CVE-2021-23129	Low	XSS
2.5.0	3.9.24	CVE-2021-23130	Low	XSS
2.5.0	3.9.27	CVE-2021-26036	Low	DoS
2.5.0	3.9.27	CVE-2021-26037	Low	Incorrect Session Handling
2.5.0	3.9.27	CVE-2021-26038	Low	Incorrect Access Control
3.0.0	3.10.15	CVE-2024-21731	Moderate	XSS
3.0.0	3.10.15	CVE-2024-26279	Moderate	XSS
3.0.0	3.10.16	CVE-2024-27185	Low	Cache Poisoning
3.0.0	3.10.16	CVE-2024-40743	Moderate	XSS
3.0.0	3.10.19	CVE-2024-40748	Moderate	XSS
3.0.0	3.10.20	CVE-2025-54476	Moderate	XSS
3.0.0	3.3.1	CVE-2025-25226	Low	SQL Injection
3.0.0	3.9.11	CVE-2019-16725	Low	XSS
3.0.0	3.9.14	CVE-2020-8419	Low	CSRF
3.0.0	3.9.14	CVE-2020-8420	Low	CSRF
3.0.0	3.9.15	CVE-2020-10240	Low	Other
3.0.0	3.9.15	CVE-2020-10242	Low	XSS
3.0.0	3.9.18	CVE-2020-11022	Moderate	XSS
3.0.0	3.9.18	CVE-2020-13761	Low	XSS
3.0.0	3.9.18	CVE-2020-13762	Low	XSS
3.0.0	3.9.19	CVE-2020-15696	Low	XSS
3.0.0	3.9.19	CVE-2020-15697	Low	Incorrect Access Control
3.0.0	3.9.19	CVE-2020-15698	Low	Information Disclosure
3.0.0	3.9.20	CVE-2020-24598	Low	Open Redirect
3.0.0	3.9.22	CVE-2020-35613	Low	SQL Injection
3.0.0	3.9.23	CVE-2021-23123	Low	Incorrect Access Control
3.0.0	3.9.24	CVE-2021-23132	Low	Improper Input Validation
3.0.0	3.9.24	CVE-2021-26027	Low	ACL violation
3.0.0	3.9.24	CVE-2021-26028	Low	Path Traversal
3.0.0	3.9.25	CVE-2021-26030	Low	XSS
3.0.0	3.9.25	CVE-2021-26031	Low	LFI
3.0.0	3.9.26	CVE-2021-26032	Low	XSS
3.0.0	3.9.26	CVE-2021-26033	Low	CSRF
3.0.0	3.9.26	CVE-2021-26034	Low	CSRF
3.0.0	3.9.27	CVE-2021-26035	Low	XSS
3.0.0	3.9.27	CVE-2021-26039	Low	XSS
3.0.0	5.4.3	CVE-2026-21629	Low	Incorrect Access Control
3.0.0	5.4.5	CVE-2026-25900	Moderate	XSS
3.0.0	5.4.5	CVE-2026-30894	Moderate	XSS
3.0.0	5.4.5	CVE-2026-48903	Moderate	XSS
3.0.0	5.4.5	CVE-2026-48905	Moderate	XSS
3.0.0	5.4.6	CVE-2026-48948	Low	Incorrect Access Control
3.0.0	5.4.6	CVE-2026-48954	Moderate	XSS
3.1.0	3.9.23	CVE-2021-23125	Low	XSS
3.2.0	3.10.14	CVE-2024-21722	Low	Insufficient Session Expiration
3.2.0	3.9.12	CVE-2019-18650	Low	CSRF
3.2.0	3.9.15	CVE-2020-10241	Low	CSRF
3.2.0	3.9.24	CVE-2021-23126	Low	Insecure Randomness
3.2.0	3.9.24	CVE-2021-23128	Low	Insecure Randomness
3.2.0	3.9.24	CVE-2021-23131	Low	Improper Input Validation
3.2.1	5.4.5	CVE-2026-40383	High	Local File Inclusion
3.4.6	3.10.16	CVE-2024-27184	Low	Open redirect
3.6.0	3.9.12	CVE-2019-18674	Low	Path Disclosure
3.7.0	3.10.14	CVE-2024-21726	Moderate	XSS
