# element	type	folder	name	patch_version	status	cve	url
com_abook	component		com_abook	3.1.4	Resolved	CVE-2018-7312	
com_acym					Live		
com_acym				6.9.2	Resolved		
com_acym	component		AcyMailing	5.9.6	Resolved		
com_acysms	component		AcySMS	3.5.1	Resolved		
com_advertisementboard	component		Advertisement Board	3.1.4	Resolved	CVE-2018-5982	
com_ajaxquiz	component		Ajax Quiz	2.1	Resolved		
com_altauserpoints	component		AltaUserPoints	1.1.8	Resolved		
com_awdwall	component		com_awdwall	4.1.2	Resolved		
com_baforms					Live		
com_baforms	package		BaForms	1.7.4	Resolved		
com_bigfileuploader	component		Big File Uploader		Live		
com_booklibrary	component		BookLibrary	3.6.15	Resolved		
com_bt_portfolio	component		Bt_Portfolio	3.0.6	Resolved		
com_canonical	component		com_canonical	4.2.1	Resolved		
com_catalog	component		COM_CATALOG	1.0.8	Resolved		
com_ccnewsletter	component		ccNewsletter	2.2.3	Resolved		
com_checklist	component		COM_CHECKLIST	1.1.1	Resolved		
com_chronoforms					Resolved		
com_chronoforms5	component		com_chronoforms5	5.0.14	Resolved	CVE-2016-10045	
com_chronoforms5	component		com_chronoforms5	5.013	Resolved	CVE-2016-10033	
com_communityquiz	component		Community Quiz	4.4.2	Resolved		
com_comprofiler					Resolved		
com_comprofiler	component		Package Installer	2.1.5	Resolved		
com_contushdvideoshare	component		Contus HD Video Share		Live		
com_convertforms					Resolved		
com_convertforms	plugin		System - Novarain Installer	2.0.4	Resolved		
com_cpeventcalendar	component		CP Event Calendar	3.0.3	Resolved	CVE-2018-6398	
com_dpcalendar					Live		
com_dtregister				3.1.13	Resolved		
com_dtregister	package		DT Register	3.2.8	Resolved	CVE-2018-6584	
com_easy_youtube_gallery	component		com_easy_youtube_gallery		Live		
com_easyblog	component		com_easyblog	3.9.15770	Resolved		
com_easydiscuss	component		com_easydiscuss	4.0.21	Resolved		
com_easydiscuss	component		com_easydiscuss	4.1.10	Resolved		
com_edocman					Resolved		
com_edocman				1.1.18	Resolved		
com_ekrishta	component		Ekrishta	2.10	Resolved	CVE-2018-7315	
com_enmasse	component		COM_ENMASSE		Live		
com_eshop	component		EShop	1.4.4	Resolved		
com_eventbooking					Resolved		
com_eventbooking				2.1.1	Resolved		
com_extplorer	component		eXtplorer	2.1.10	Resolved	CVE-2016-4313	
com_extplorer	component		eXtplorer	2.1.5	Resolved		
com_extplorer	component		eXtplorer	2.1.6	Resolved		
com_extplorer	component		eXtplorer	2.1.8	Resolved		
com_extrasearch	component		ExtraSearch		Live		
com_formmaker	package		Form Maker	3.6.15	Resolved	CVE-2018-5991	
com_gallery	component		COM_GALLERY	1.1.9	Resolved		
com_gallery_wd	package		Gallery WD	1.3.10	Resolved	CVE-2018-5981	
com_gmap	component		COM_GMAP		Live	CVE-2018-6396	
com_gmapfp	component		COM_GMAPFP	3.123pro	Resolved		
com_gmapfp	component		COM_GMAPFP	3.41	Resolved		
com_googlemaps	component		COM_GOOGLEMAPS		Live		
com_gridbox	package		Gridbox	2.4.1.1	Resolved		
com_guru	component		COM_GURU	5.0.15	Resolved		
com_hdwplayer	component		HDW Player		Live		
com_hdwplayer	component		HDW Player	3.2.2	Live		
com_hikashop					Live		
