# NT-Forensik — Schwachstellenbereiche core
# Quelle: Wordfence Intelligence, Defiant Inc. Siehe ../QUELLEN.md
# slug	von	von_inkl	bis	bis_inkl	behoben	cve	cvss	kev	quelle
wordpress	*	1	0.70	1	0.71	CVE-2003-1599	9.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/da760bcf-b252-4b88-9f54-af0a097e3295?source=api-prod
wordpress	*	1	0.72	0	0.72	CVE-2003-1598	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/0534bc03-5d7d-47fe-9c07-c9a61af38df2?source=api-prod
wordpress	*	1	1.0	1	1.1.1	CVE-2007-4544	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/d1c80d7c-0eab-4437-ad03-9789d34638a1?source=api-prod
wordpress	*	1	1.2	0	1.2	CVE-2004-1559	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/e8687bf7-4172-4cc3-bd6e-830fc5fc28e9?source=api-prod
wordpress	*	1	1.2.1	0	1.2.1	CVE-2004-1584	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/ec8ad817-9716-4d29-a02a-57eb9aa58a13?source=api-prod
wordpress	*	1	1.2.3	1	1.2.4	CVE-2007-3544	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/0848d526-9530-40f3-8430-499d96b9a1b1?source=api-prod
wordpress	*	1	1.2.5	0	1.2.5	CVE-2007-4894	9.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/a5c290a1-b58a-4b5c-8112-076d5b17d940?source=api-prod
wordpress	*	1	1.2.5a	0	1.2.5a	CVE-2007-4893	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/26daa367-ef73-4ae0-843e-6d5366cc4ecd?source=api-prod
wordpress	*	1	1.3.1	1	1.3.2	CVE-2008-5695	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/8afcb18c-71e6-4c77-b0f9-0700ee05966e?source=api-prod
wordpress	*	1	1.5.1	0	1.5.1	CVE-2005-1687	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/faf3fb76-847f-447f-b6c6-49bd0d30d3c7?source=api-prod
wordpress	*	1	1.5.1	0	1.5.1	CVE-2005-1688	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/3d3b090a-71a3-4430-871d-f19ee1033e01?source=api-prod
wordpress	*	1	1.5.1	1	1.5.1.2	CVE-2005-1102	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/1d2f973a-1fb3-4c75-8c33-6d1fadf9c906?source=api-prod
wordpress	*	1	1.5.1.1	1	1.5.1.2	CVE-2005-1810	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/78669d4f-3c1e-49e6-af8d-56f105f99d01?source=api-prod
wordpress	*	1	1.5.1.2	1	1.5.1.3	CVE-2005-2107	7.2		https://www.wordfence.com/threat-intel/vulnerabilities/id/35ac717c-e299-4a56-bead-cb1d050da75c?source=api-prod
wordpress	*	1	1.5.1.2	1	1.5.1.3	CVE-2005-2109	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/f25d0409-dbca-4c5a-9f43-fc03e5307d0f?source=api-prod
wordpress	*	1	1.5.1.2	1	1.5.1.3	CVE-2005-2110	7.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/bf48087a-f729-488a-8e40-f4e010ccd5a7?source=api-prod
wordpress	*	1	1.5.1.3	0	1.5.1.3	CVE-2005-2108	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/11d53df8-f7b3-467c-8b3a-515974f1ea69?source=api-prod
wordpress	*	1	1.5.1.3	1	1.5.2	CVE-2005-2612	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/fbe42214-0a01-4b9c-8149-68c47082d9d9?source=api-prod
wordpress	*	1	1.5.2	0	1.5.2	CVE-2005-4463	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/5bfd1650-0cc1-4b1c-9fc2-c940d841a147?source=api-prod
wordpress	*	1	1.5.2	1	2.0	CVE-2006-1012	7.2		https://www.wordfence.com/threat-intel/vulnerabilities/id/8ba30cbb-7a20-47aa-bbd6-82fdb27d4705?source=api-prod
wordpress	*	1	2.0	1	2.0.1	CVE-2006-1796	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/8d874540-dced-420d-81c0-46c185df10f1?source=api-prod
wordpress	*	1	2.0.1	1	2.0.2	CVE-2006-0985	7.2		https://www.wordfence.com/threat-intel/vulnerabilities/id/dab0ddfb-6e30-4bde-95fb-90570579ff04?source=api-prod
wordpress	*	1	2.0.1	1	2.0.2	CVE-2006-0986	7.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/06e4d7e3-c800-4b3d-9504-c69aa9a918fb?source=api-prod
wordpress	*	1	2.0.10	0	2.0.10	CVE-2007-1599	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/9f7469ec-cbd5-4f13-8455-b907f2542836?source=api-prod
wordpress	*	1	2.0.10	1	2.0.11	CVE-2007-4139	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/64b4faf1-c2f2-43cd-900e-22edce3145a8?source=api-prod
wordpress	*	1	2.0.10	1	2.0.11	CVE-2007-4154	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/f582eb1d-fcd0-4758-9922-969f8eb6efea?source=api-prod
wordpress	*	1	2.0.11	1	2.1	CVE-2008-0195	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/63fd62b2-455e-449b-b46a-78c5d2b86cde?source=api-prod
wordpress	*	1	2.0.11	1	2.1	CVE-2013-7233	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/f8758fd2-9f43-4e31-b496-50b77180bc07?source=api-prod
