# NT-Forensik — Schwachstellenbereiche plugin
# Quelle: Wordfence Intelligence, Defiant Inc. Siehe ../QUELLEN.md
# slug	von	von_inkl	bis	bis_inkl	behoben	cve	cvss	kev	quelle
0-day-analytics	*	1	4.0.0	1	4.1.0	CVE-2025-64293	4.9		https://www.wordfence.com/threat-intel/vulnerabilities/id/63d93203-e8fb-4a88-9546-580944f03d9a?source=api-prod
001-prime-strategy-translate-accelerator	*	1	1.1.1	1			6.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/217d68dc-6133-4b7e-9d8f-bb8fc18f1c12?source=api-prod
012-ps-multi-languages	*	1	1.6	1		CVE-2024-8723	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/30a1517e-5ea5-47a1-afe8-9543e1ffd199?source=api-prod
0mk-shortener	*	1	0.2	1		CVE-2022-2933	5.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/3b798c64-3434-427d-b578-5abbdac8cd0e?source=api-prod
0mk-shortener	*	1	0.2	1		CVE-2022-45361	5.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/de9f3b83-4575-4566-9731-0af9107c7c30?source=api-prod
1-click-backup-restore-database-by-sunbytes	*	1	1.0.3	1		CVE-2025-32246	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/19aa5070-2336-4139-a05c-ca6f1a1a0e30?source=api-prod
1-click-close-store	1.1.0	1	1.1.0	1		CVE-2023-33999	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/5253fe2b-040b-417c-b257-0cb59ee5aa6e?source=api-prod
1-click-migration	*	1	2.2	1		CVE-2025-32257	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/45745704-0e43-4235-8eff-7175ac091a8b?source=api-prod
1-click-migration	*	1	2.2	1	2.3	CVE-2024-13555	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/aee963fa-26b5-4bf0-b52f-095c67fb4834?source=api-prod
1-click-migration	*	1	2.2	1	2.3	CVE-2024-13609	5.9		https://www.wordfence.com/threat-intel/vulnerabilities/id/d33199ea-7c96-4c60-a7b8-5c7e9835e231?source=api-prod
1-click-migration	*	1	2.2	1	2.3	CVE-2025-3455	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/e982ae88-cfd0-46b9-ad64-00e398d307d6?source=api-prod
1-decembrie-1918	*	1	1.dec.2012	1		CVE-2025-3870	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/73f7646f-f01f-4f57-836c-e0bd04764ba9?source=api-prod
1-flash-gallery	*	1	1.9.0	1			6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/8fea93d2-c1a5-416d-90d4-92304d8dc41f?source=api-prod
1-jquery-photo-gallery-slideshow-flash	*	1	1.11	1		CVE-2011-5180	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/7be3688d-61f5-457d-a38b-0560205b2f8d?source=api-prod
1-jquery-photo-gallery-slideshow-flash	*	1	1.11	1		CVE-2025-26954	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/c8fb459b-39c1-4bbe-b176-93b25822be2e?source=api-prod
1003-mortgage-application	*	1	1.75	1	1.80	CVE-2022-45357	6.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/63567094-9fb1-44b2-a3e6-99194389c4b6?source=api-prod
1003-mortgage-application	*	1	1.75	1	1.80	CVE-2022-45368	7.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/d5d77105-19a8-40eb-8a9c-aa519a757a8d?source=api-prod
1003-mortgage-application	*	1	1.87	1		CVE-2024-13536	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/cfbc90b9-af91-49ac-ad3d-a37c17e8ba6d?source=api-prod
1003-mortgage-application	*	1	1.87	1		CVE-2025-22591	4.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/5aaa178d-f942-4f41-bd8e-5b3bff8aca6c?source=api-prod
1003-mortgage-application	*	1	1.87	1		CVE-2025-22592	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/4b1e4e4c-379f-41d7-a63a-868830c95af9?source=api-prod
10centmail-subscription-management-and-analytics	*	1	2.1.50	1		CVE-2024-56030	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/f338b8a9-7b0a-46bd-b624-ebda897651f1?source=api-prod
10to8-online-booking	*	1	1.0.9	1	1.1.0	CVE-2023-49173	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/9fbb5ed0-ed76-44fe-88c4-eb05ad87e510?source=api-prod
1180px-shortcodes	*	1	1.1.1	1		CVE-2025-14114	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/ddf2ca43-a1d5-4809-b8ad-916b23f71a7d?source=api-prod
