# NT-Forensik — Schwachstellenbereiche theme
# Quelle: Wordfence Intelligence, Defiant Inc. Siehe ../QUELLEN.md
# slug	von	von_inkl	bis	bis_inkl	behoben	cve	cvss	kev	quelle
15zine	*	1	3.3.0	0	3.3.0	CVE-2020-36510	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/ad5c8eb8-8e58-4bed-a39c-b54e2cfd9cd3?source=api-prod
5star	*	1	1.0	1	1.1		8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/b2cea890-b131-47cd-9050-a484fb1895f6?source=api-prod
Avada	*	1	3.15.3	1	3.15.4	CVE-2026-12256	7.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/999b2249-5bfb-4add-b955-e82ab0308d2f?source=api-prod
Avada	*	1	5.1.5	0	5.1.5	CVE-2017-18606	6.1		https://www.wordfence.com/threat-intel/vulnerabilities/id/6781c76b-bfcb-43b3-8275-5b4c2aa1fe07?source=api-prod
Avada	*	1	5.1.5	0	5.1.5	CVE-2017-18607	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/95624a3b-70cc-4815-a604-c6b19fc84e93?source=api-prod
Avada	*	1	6.2.3	0	6.2.3	CVE-2020-36711	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/684a1e8e-30f2-47dd-9df6-145198030c52?source=api-prod
Avada	*	1	7.11.1	1	7.11.2	CVE-2023-39307	7.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/a73f7812-771d-4d9f-9a7c-e4e01ec05023?source=api-prod
Avada	*	1	7.11.1	1	7.11.2	CVE-2023-39312	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/d3b62eb2-6c03-4e24-a454-5de54a4521b2?source=api-prod
Avada	*	1	7.11.1	1	7.11.2	CVE-2023-39313	8.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/43b11ab0-c7f2-4a7a-aab7-7f9dd58ec1ab?source=api-prod
Avada	*	1	7.11.1	1	7.11.2	CVE-2023-39922	4.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/bfffed4d-dacb-4591-840c-45105a58362a?source=api-prod
Avada	*	1	7.11.10	1	7.11.11	CVE-2024-54357	4.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/5efd3125-8ba7-4d36-9e6c-cac101de7d5b?source=api-prod
Avada	*	1	7.11.10	1	7.11.11	CVE-2025-24748	5.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/f7b25126-9db4-488a-aa47-2f903b0b9fdf?source=api-prod
Avada	*	1	7.11.13	1	7.11.14	CVE-2024-13346	7.3		https://www.wordfence.com/threat-intel/vulnerabilities/id/1f2f390b-332b-452c-9fe7-ccd1a45390dd?source=api-prod
Avada	*	1	7.11.4	1	7.11.5	CVE-2024-1468	8.8		https://www.wordfence.com/threat-intel/vulnerabilities/id/cde6e758-9723-43f2-9972-32be8aeb2b91?source=api-prod
Avada	*	1	7.11.5	1	7.11.6	CVE-2024-1668	6.5		https://www.wordfence.com/threat-intel/vulnerabilities/id/cd224169-ae51-4af8-b6de-706ed580ff8d?source=api-prod
Avada	*	1	7.11.6	1	7.11.7	CVE-2024-2311	6.4		https://www.wordfence.com/threat-intel/vulnerabilities/id/ff6ff104-44c8-49a9-bebd-abb82e8e1cd6?source=api-prod
